ID,Year,Date / Period,Organisation(s) Affected,Sector (Primary),Sub-sector,Other Sectors Affected,Incident Type,Method / Attack Vector,Threat Actor (as reported),Reported Loss (UGX bn),Reported Loss (USD m),Data / Systems Affected,Outcome / Response,Confidence,Primary Source(s),Source URL,Notes
UG-011,2020,1–3 Oct 2020,"Pegasus Technologies (payments aggregator) – affecting MTN MoMo, Airtel Money, Stanbic Bank, Bank of Africa",Financial Services,Payments aggregator / bank-to-wallet,Telecommunications,Unauthorised access / system fraud,"System manipulation of bank-to-wallet transfers; ~1,630 fraudulently registered SIM cards used to cash out at agents",Insider-enabled (Stanbic employee who was also Pegasus external sysadmin) + cash-out network,10.44,,Bank-to-mobile-money integration platform,Bank-to-wallet services suspended; suspects arrested and charged (Dec 2020),Confirmed,Eagle Online (citing CID); CEO East Africa; PML Daily,https://eagle.co.ug/2020/12/11/stanbic-bank-employee-arrested-over-recent-shs10-billion-electronic-scam,Early estimates were ~USD 3.2m; police later put loss at UGX 10.44bn.
UG-012,2021,16 Jan 2021,Parliament of Uganda and other government & media websites,Government & Public Sector,Central government websites,Media,Website defacement / hacktivism,Website attacks and information leaks,Anonymousx64,,,Public websites,,Reported,TechRafiki,https://techrafiki.com/uganda-government-websites-hacked-by-anonymous/,Protest over election-period internet shutdown.
UG-013,2021,Feb–Mar 2021,Civil Service College Uganda website; MPs' personal data,Government & Public Sector,Central government websites / data,,Website defacement / hacktivism,Website defaced twice; MPs' personal & next-of-kin data leaked,YourAnonWolf (Anonymous-affiliated),,,Website; MPs' personal data,,Reported,The Observer,https://observer.ug/news/hackers-plan-attacks-on-government-websites/,Includes a data leak component.
UG-014,2022,2022 (reported Nov 2022),UGAFODE Microfinance Ltd,Financial Services,Microfinance (MDI),,Unauthorised access / system fraud,Unauthorised electronic theft (method not disclosed),Unknown,0.40,,Institution funds,,Reported,The Citizen / The EastAfrican,https://www.thecitizen.co.tz/tanzania/business/how-hackers-stole-billions-from-airtel-money-in-uganda-4026838,
UG-015,2022,Jun 2022,Uganda Securities Exchange (USE) & tech partner Soft Edge,Financial Services,Capital markets,,Data breach / exposure,Unsecured server exposed investor database (~32 GB) for at least 12 days,Unknown (discovered by researcher),,,Investor personal data incl. passwords & bank details,PDPO investigation found USE and Soft Edge negligent (2023),Confirmed,Daily Monitor; Unwanted Witness; PDPO,https://www.monitor.co.ug/uganda/business/markets/use-investor-data-was-exposed-to-hackers-investigation-finds--4306532,
UG-016,2022,28 Oct 2022,Airtel Mobile Commerce Uganda (Airtel Money),Financial Services,Mobile money (telco-operated),Telecommunications; Banking; Microfinance,Unauthorised access / system fraud,"Third-party betting platform used as gateway; software tweaked to auto-approve transactions; ~1,800 SIM cards used to withdraw",Unknown syndicate,8.00,2.10,Airtel-to-bank wallet & bulk payment system,Airtel-to-bank services suspended; Airtel said balances unaffected,Reported,The EastAfrican; The Citizen; Pulse Uganda,https://www.theeastafrican.co.ke/tea/business-tech/how-hackers-used-betting-site-to-access-airtel-money-in-uganda-4027746,Early media estimates ranged UGX 30–50bn; later reporting ~UGX 8bn.
UG-017,2023,c. Jun–Jul 2023,Two major commercial banks (unnamed),Financial Services,Commercial banking,,Ransomware / extortion,Phishing-led intrusion; customer data accessed; USD 1m ransom demanded,Suspected LockBit (per anonymous expert),,,"Customer data incl. IDs, statements, credit history of high-net-worth clients",Ransom refused; banks failed over to backup data centre,Reported,Daily Monitor,https://www.monitor.co.ug/uganda/special-reports/video-global-cartel-hacks-commercial-banks-demands-1m-4291218,Based on anonymous sources; date approximate.
UG-018,2024,Sep 2024 (reported Nov 2024),Bank of Uganda / Ministry of Finance Treasury,Financial Services,Central bank / public finance,Government & Public Sector,Unauthorised access / system fraud,Two debt-service payments to IDA and AfDF diverted to private accounts in Japan and UK; insider collusion suspected,'Waste' group named in media; MoFPED officials charged,53.50,14.73,Treasury payment systems,Auditor General audit; 9 MoFPED officials committed for trial; over half of funds recovered,Confirmed,Daily Monitor; Reuters (via CNBC Africa); The Observer,https://www.monitor.co.ug/uganda/news/national/police-arrest-nine-govt-officials-over-bank-of-uganda-heist--4913192,Loss = USD 6.134m + USD 8.597m per audit. Media initially reported UGX 62bn (USD 16.8m).
UG-019,2025,18 Aug 2025,Uganda Electricity Transmission Company Ltd (UETCL),Energy & Utilities,Electricity transmission,,Ransomware / extortion,Ransomware; grid monitoring systems compromised; data theft claimed,Qilin ransomware group,,,"Grid monitoring systems; contracts, ID documents, financial statements (claimed)",Service restored via backup protocols,Confirmed,The Independent (citing INTERPOL Africa Cyberthreat Assessment 2026),https://www.independent.co.ug/the-hackers-are-coming-for-africas-critical-infrastructure/,INTERPOL describes it as a suspected ransomware incident.
UG-020,2026,Mar 2026 (Uganda update May 2026),Stanbic Bank Uganda (Standard Bank Group data incident),Financial Services,Commercial banking,,Data breach / exposure,Group-level data incident affecting a small set of Ugandan records,Not disclosed,,,"Partial data: names, emails, phone numbers, account numbers",Reported to PDPO; bank says no funds or core systems affected,Confirmed,Stanbic Bank Uganda statement,https://www.stanbicbank.co.ug/uganda/personal/about-us/news/An-Important-Data-Incident-Update,
UG-021,2026,Early Jul 2026 (weekend),MTN Uganda & Stanbic Bank Uganda – service outages,Telecommunications,Mobile network & mobile money,Financial Services,Service disruption (cause disputed),"Weekend outage of mobile money, data, ATMs, internet banking",Unconfirmed,,,Digital channels,Services restored,Disputed,The EastAfrican; ChimpReports,https://chimpreports.com/mtn-stanbic-outages-spark-questions/,The EastAfrican called it a cyber attack; MTN cited a data-centre power outage and neither firm attributed it to an attack.
UG-022,2026,Jul 2026,Unnamed telecom and utility company systems,Telecommunications,Telecom networks,Energy & Utilities,Unauthorised access / system fraud,Alleged syndicate breached telecom & utility systems causing disruptions and unauthorised deductions from customer accounts,"Transnational syndicate; 1,000+ foreign nationals detained",,,Customer accounts; network systems,Joint CID/immigration raids in Kampala & Wakiso; probe ongoing,Alleged,The African Mirror; The EastAfrican,https://theafricanmirror.africa/news/uganda-blows-open-continents-largest-cyber-fraud-bust-over-1000-foreigners-held-over-telecom-and-utility-hacking/,May be linked to the outage above; no official loss estimate published.
